5,0.993
4.5,0.988
4,0.981
3.5,0.97
3,0.952
2.5,0.924
2,0.88
1.5,0.817
1,0.731
0.5,0.622
0,0.5
-0.5,0.377
-1,0.268
-1.5,0.182
-2,0.119
-2.5,0.076
-3,0.05
-3.5,0.0046
-4,0.0088
-4.5,0.00223
-5,0.00463
